location_id,acronym,timezone
0RJH3FFPYBPEY,EDT,America/New_York
1SQPTEGYPH0GA,MDT,America/Denver
3AXDVZJYN9DRS,BST,Europe/London
75WYSXR9QBK5M,HST,Pacific/Honolulu
78AY09MVJVTYE,EDT,America/New_York
9XKJD8DQTH559,EDT,America/New_York
AQD04SM0J92WA,PDT,America/Los_Angeles
CB2KHY1C2G9PT,EST,America/New_York
EMBVNVD207CC6,EDT,America/New_York
JHDN7CF1C03X5,CDT,America/Chicago
L3XS7WSJ4AJA3,BST,Europe/London
L69HYJ4Y3TR91,EDT,America/New_York
LBMCPAYT7W36V,EST,America/New_York
LBZEEFSBJNB3Z,PDT,America/Los_Angeles
LFZFT3VASXPED,AEDT,Australia/Sydney
LQ5EH4BKGV61T,EDT,America/New_York
LZ5MR1TS37E7W,PDT,America/Los_Angeles
MS8R16DY0JQAM,PDT,America/Los_Angeles
N0PC58FB2XAZ3,CST,America/Chicago
S8MT0YGD2KTN9,EDT,America/New_York
SAFK7ND1HR6XS,PST,America/Los_Angeles
SRQS8F7JWA9MZ,EDT,America/New_York
V3Q26BHF3SE2H,EST,America/New_York
W8T41JZK0ZMEP,EDT,America/New_York
WJA3YCD4QBWRX,EDT,America/New_York
1G5AJ17XCH2A8,CDT,America/Chicago
ADPFRN3QZRCXK,PST,America/Los_Angeles
ED5J990H5VAZT,PDT,America/Los_Angeles
2HRX9P6HKXA8V,PDT,America/Los_Angeles
C0BE4NDSW26QN,EDT,America/New_York